ZEIT;RAUM;MERKMAL;WERT
31.12.2007;46 Rumphorst;Wohnberechtigte Bevölkerung;7889
31.12.2007;47 Uppenberg;Wohnberechtigte Bevölkerung;7363
31.12.2007;51 Gievenbeck;Wohnberechtigte Bevölkerung;18762
31.12.2007;52 Sentrup;Wohnberechtigte Bevölkerung;6260
31.12.2007;54 Mecklenbeck;Wohnberechtigte Bevölkerung;9198
31.12.2007;56 Albachten;Wohnberechtigte Bevölkerung;5411
31.12.2007;57 Roxel;Wohnberechtigte Bevölkerung;8106
31.12.2007;58 Nienberge;Wohnberechtigte Bevölkerung;6441
31.12.2007;61 Coerde;Wohnberechtigte Bevölkerung;9978
31.12.2007;62 Kinderhaus-Ost;Wohnberechtigte Bevölkerung;4983
31.12.2007;63 Kinderhaus-West;Wohnberechtigte Bevölkerung;10420
31.12.2007;68 Sprakel;Wohnberechtigte Bevölkerung;2865
31.12.2007;71 Mauritz-Ost;Wohnberechtigte Bevölkerung;9866
31.12.2007;76 Gelmer-Dyckburg;Wohnberechtigte Bevölkerung;3406
31.12.2007;77 Handorf;Wohnberechtigte Bevölkerung;7328
31.12.2007;81 Gremmendorf-West;Wohnberechtigte Bevölkerung;4739
31.12.2007;82 Gremmendorf-Ost;Wohnberechtigte Bevölkerung;6199
31.12.2007;86 Angelmodde;Wohnberechtigte Bevölkerung;7495
31.12.2007;87 Wolbeck;Wohnberechtigte Bevölkerung;8600
31.12.2007;91 Berg Fidel;Wohnberechtigte Bevölkerung;5655
31.12.2007;95 Hiltrup-Ost;Wohnberechtigte Bevölkerung;6671
31.12.2007;96 Hiltrup-Mitte;Wohnberechtigte Bevölkerung;9734
31.12.2007;97 Hiltrup-West;Wohnberechtigte Bevölkerung;8847
31.12.2007;98 Amelsbüren;Wohnberechtigte Bevölkerung;5759
31.12.2008;11 Aegidii;Wohnberechtigte Bevölkerung;1354
31.12.2008;12 Überwasser;Wohnberechtigte Bevölkerung;1285
31.12.2008;13 Dom;Wohnberechtigte Bevölkerung;2111
31.12.2008;14 Buddenturm;Wohnberechtigte Bevölkerung;2188
31.12.2008;15 Martini;Wohnberechtigte Bevölkerung;1294
31.12.2008;21 Pluggendorf;Wohnberechtigte Bevölkerung;4021
31.12.2008;22 Josef;Wohnberechtigte Bevölkerung;7845
31.12.2008;23 Bahnhof;Wohnberechtigte Bevölkerung;1025
31.12.2008;24 Hansaplatz;Wohnberechtigte Bevölkerung;6352
31.12.2008;25 Mauritz-West;Wohnberechtigte Bevölkerung;5656
31.12.2008;26 Schlachthof;Wohnberechtigte Bevölkerung;4800
31.12.2008;27 Kreuz;Wohnberechtigte Bevölkerung;11613
31.12.2008;28 Neutor;Wohnberechtigte Bevölkerung;3811
31.12.2008;29 Schloss;Wohnberechtigte Bevölkerung;1888
31.12.2008;31 Aaseestadt;Wohnberechtigte Bevölkerung;5318
31.12.2008;32 Geist;Wohnberechtigte Bevölkerung;8590
31.12.2008;33 Schützenhof;Wohnberechtigte Bevölkerung;6981
31.12.2008;34 Düesberg;Wohnberechtigte Bevölkerung;6625
31.12.2008;43 Hafen;Wohnberechtigte Bevölkerung;941
31.12.2008;44 Herz-Jesu;Wohnberechtigte Bevölkerung;5119
31.12.2008;45 Mauritz-Mitte;Wohnberechtigte Bevölkerung;9908
31.12.2008;46 Rumphorst;Wohnberechtigte Bevölkerung;7845
31.12.2008;47 Uppenberg;Wohnberechtigte Bevölkerung;7623
31.12.2008;51 Gievenbeck;Wohnberechtigte Bevölkerung;18717
31.12.2008;52 Sentrup;Wohnberechtigte Bevölkerung;6308
31.12.2008;54 Mecklenbeck;Wohnberechtigte Bevölkerung;9223
31.12.2008;56 Albachten;Wohnberechtigte Bevölkerung;5555
31.12.2008;57 Roxel;Wohnberechtigte Bevölkerung;8286
31.12.2008;58 Nienberge;Wohnberechtigte Bevölkerung;6330
31.12.2008;61 Coerde;Wohnberechtigte Bevölkerung;9950
31.12.2008;62 Kinderhaus-Ost;Wohnberechtigte Bevölkerung;4982
31.12.2008;63 Kinderhaus-West;Wohnberechtigte Bevölkerung;10267
31.12.2008;68 Sprakel;Wohnberechtigte Bevölkerung;2913
31.12.2008;71 Mauritz-Ost;Wohnberechtigte Bevölkerung;9789
31.12.2008;76 Gelmer-Dyckburg;Wohnberechtigte Bevölkerung;3418
31.12.2008;77 Handorf;Wohnberechtigte Bevölkerung;7473
31.12.2008;81 Gremmendorf-West;Wohnberechtigte Bevölkerung;4682
31.12.2008;82 Gremmendorf-Ost;Wohnberechtigte Bevölkerung;6196
31.12.2008;86 Angelmodde;Wohnberechtigte Bevölkerung;7415
31.12.2008;87 Wolbeck;Wohnberechtigte Bevölkerung;8635
31.12.2008;91 Berg Fidel;Wohnberechtigte Bevölkerung;5625
31.12.2008;95 Hiltrup-Ost;Wohnberechtigte Bevölkerung;6633
31.12.2008;96 Hiltrup-Mitte;Wohnberechtigte Bevölkerung;9707
31.12.2008;97 Hiltrup-West;Wohnberechtigte Bevölkerung;8866
31.12.2008;98 Amelsbüren;Wohnberechtigte Bevölkerung;5887
31.12.2009;11 Aegidii;Wohnberechtigte Bevölkerung;1355
31.12.2009;12 Überwasser;Wohnberechtigte Bevölkerung;1275
31.12.2009;13 Dom;Wohnberechtigte Bevölkerung;2136
31.12.2009;14 Buddenturm;Wohnberechtigte Bevölkerung;2241
31.12.2009;15 Martini;Wohnberechtigte Bevölkerung;1270
31.12.2009;21 Pluggendorf;Wohnberechtigte Bevölkerung;4077
31.12.2009;22 Josef;Wohnberechtigte Bevölkerung;7909
31.12.2009;23 Bahnhof;Wohnberechtigte Bevölkerung;1022
31.12.2009;24 Hansaplatz;Wohnberechtigte Bevölkerung;6428
31.12.2009;25 Mauritz-West;Wohnberechtigte Bevölkerung;5729
31.12.2009;26 Schlachthof;Wohnberechtigte Bevölkerung;4818
31.12.2009;27 Kreuz;Wohnberechtigte Bevölkerung;11739
31.12.2009;28 Neutor;Wohnberechtigte Bevölkerung;3824
31.12.2009;29 Schloss;Wohnberechtigte Bevölkerung;1905
31.12.2009;31 Aaseestadt;Wohnberechtigte Bevölkerung;5315
31.12.2009;32 Geist;Wohnberechtigte Bevölkerung;8674
31.12.2009;33 Schützenhof;Wohnberechtigte Bevölkerung;7002
31.12.2009;34 Düesberg;Wohnberechtigte Bevölkerung;6712
31.12.2009;43 Hafen;Wohnberechtigte Bevölkerung;995
31.12.2009;44 Herz-Jesu;Wohnberechtigte Bevölkerung;5096
31.12.2009;45 Mauritz-Mitte;Wohnberechtigte Bevölkerung;9897
31.12.2009;46 Rumphorst;Wohnberechtigte Bevölkerung;7790
31.12.2009;47 Uppenberg;Wohnberechtigte Bevölkerung;8000
31.12.2009;51 Gievenbeck;Wohnberechtigte Bevölkerung;18928
31.12.2009;52 Sentrup;Wohnberechtigte Bevölkerung;6402
31.12.2009;54 Mecklenbeck;Wohnberechtigte Bevölkerung;9297
31.12.2009;56 Albachten;Wohnberechtigte Bevölkerung;5684
31.12.2009;57 Roxel;Wohnberechtigte Bevölkerung;8217
31.12.2009;58 Nienberge;Wohnberechtigte Bevölkerung;6441
31.12.2009;61 Coerde;Wohnberechtigte Bevölkerung;9941
31.12.2009;62 Kinderhaus-Ost;Wohnberechtigte Bevölkerung;4883
31.12.2009;63 Kinderhaus-West;Wohnberechtigte Bevölkerung;10259
31.12.2009;68 Sprakel;Wohnberechtigte Bevölkerung;2956
31.12.2009;71 Mauritz-Ost;Wohnberechtigte Bevölkerung;9743
31.12.2009;76 Gelmer-Dyckburg;Wohnberechtigte Bevölkerung;3414
31.12.2009;77 Handorf;Wohnberechtigte Bevölkerung;7593
31.12.2009;81 Gremmendorf-West;Wohnberechtigte Bevölkerung;4718
31.12.2009;82 Gremmendorf-Ost;Wohnberechtigte Bevölkerung;6317
31.12.2009;86 Angelmodde;Wohnberechtigte Bevölkerung;7350
31.12.2009;87 Wolbeck;Wohnberechtigte Bevölkerung;8569
31.12.2009;91 Berg Fidel;Wohnberechtigte Bevölkerung;5586
31.12.2009;95 Hiltrup-Ost;Wohnberechtigte Bevölkerung;6579
31.12.2009;96 Hiltrup-Mitte;Wohnberechtigte Bevölkerung;9746
31.12.2009;97 Hiltrup-West;Wohnberechtigte Bevölkerung;8908
31.12.2009;98 Amelsbüren;Wohnberechtigte Bevölkerung;5978
31.12.2010;11 Aegidii;Wohnberechtigte Bevölkerung;1356
31.12.2010;12 Überwasser;Wohnberechtigte Bevölkerung;1273
31.12.2010;13 Dom;Wohnberechtigte Bevölkerung;2155
31.12.2010;14 Buddenturm;Wohnberechtigte Bevölkerung;2260
31.12.2010;15 Martini;Wohnberechtigte Bevölkerung;1274
31.12.2010;21 Pluggendorf;Wohnberechtigte Bevölkerung;4045
31.12.2010;22 Josef;Wohnberechtigte Bevölkerung;7980
31.12.2010;23 Bahnhof;Wohnberechtigte Bevölkerung;1056
31.12.2010;24 Hansaplatz;Wohnberechtigte Bevölkerung;6589
31.12.2010;25 Mauritz-West;Wohnberechtigte Bevölkerung;5900
31.12.2010;26 Schlachthof;Wohnberechtigte Bevölkerung;4865
31.12.2010;27 Kreuz;Wohnberechtigte Bevölkerung;11939
31.12.2010;28 Neutor;Wohnberechtigte Bevölkerung;3978
31.12.2010;29 Schloss;Wohnberechtigte Bevölkerung;2070
31.12.2010;31 Aaseestadt;Wohnberechtigte Bevölkerung;5352
31.12.2010;32 Geist;Wohnberechtigte Bevölkerung;8738
31.12.2010;33 Schützenhof;Wohnberechtigte Bevölkerung;7102
31.12.2010;34 Düesberg;Wohnberechtigte Bevölkerung;6826
31.12.2010;43 Hafen;Wohnberechtigte Bevölkerung;982
31.12.2010;44 Herz-Jesu;Wohnberechtigte Bevölkerung;5065
31.12.2010;45 Mauritz-Mitte;Wohnberechtigte Bevölkerung;9942
31.12.2010;46 Rumphorst;Wohnberechtigte Bevölkerung;7829
31.12.2010;47 Uppenberg;Wohnberechtigte Bevölkerung;8084
31.12.2010;51 Gievenbeck;Wohnberechtigte Bevölkerung;18832
31.12.2010;52 Sentrup;Wohnberechtigte Bevölkerung;6628
31.12.2010;54 Mecklenbeck;Wohnberechtigte Bevölkerung;9335
31.12.2010;56 Albachten;Wohnberechtigte Bevölkerung;5724
31.12.2010;57 Roxel;Wohnberechtigte Bevölkerung;8338
31.12.2010;58 Nienberge;Wohnberechtigte Bevölkerung;6519
31.12.2010;61 Coerde;Wohnberechtigte Bevölkerung;10045
31.12.2010;62 Kinderhaus-Ost;Wohnberechtigte Bevölkerung;4887
31.12.2010;63 Kinderhaus-West;Wohnberechtigte Bevölkerung;10365
31.12.2010;68 Sprakel;Wohnberechtigte Bevölkerung;2964
31.12.2010;71 Mauritz-Ost;Wohnberechtigte Bevölkerung;9716
31.12.2010;76 Gelmer-Dyckburg;Wohnberechtigte Bevölkerung;3471
31.12.2010;77 Handorf;Wohnberechtigte Bevölkerung;7680
31.12.2010;81 Gremmendorf-West;Wohnberechtigte Bevölkerung;4705
31.12.2010;82 Gremmendorf-Ost;Wohnberechtigte Bevölkerung;6379
31.12.2010;86 Angelmodde;Wohnberechtigte Bevölkerung;7368
31.12.2010;87 Wolbeck;Wohnberechtigte Bevölkerung;8703
31.12.2010;91 Berg Fidel;Wohnberechtigte Bevölkerung;5563
31.12.2010;95 Hiltrup-Ost;Wohnberechtigte Bevölkerung;6527
31.12.2010;96 Hiltrup-Mitte;Wohnberechtigte Bevölkerung;9787
31.12.2010;97 Hiltrup-West;Wohnberechtigte Bevölkerung;8922
31.12.2010;98 Amelsbüren;Wohnberechtigte Bevölkerung;6062
31.12.2011;11 Aegidii;Wohnberechtigte Bevölkerung;1470
31.12.2011;12 Überwasser;Wohnberechtigte Bevölkerung;1405
31.12.2011;13 Dom;Wohnberechtigte Bevölkerung;2284
31.12.2011;14 Buddenturm;Wohnberechtigte Bevölkerung;2394
31.12.2011;15 Martini;Wohnberechtigte Bevölkerung;1363
31.12.2011;21 Pluggendorf;Wohnberechtigte Bevölkerung;4407
31.12.2011;22 Josef;Wohnberechtigte Bevölkerung;8423
31.12.2011;23 Bahnhof;Wohnberechtigte Bevölkerung;1126
31.12.2011;24 Hansaplatz;Wohnberechtigte Bevölkerung;6945
31.12.2011;25 Mauritz-West;Wohnberechtigte Bevölkerung;6203
31.12.2011;26 Schlachthof;Wohnberechtigte Bevölkerung;5132
31.12.2011;27 Kreuz;Wohnberechtigte Bevölkerung;12648
31.12.2011;28 Neutor;Wohnberechtigte Bevölkerung;4473
31.12.2011;29 Schloss;Wohnberechtigte Bevölkerung;2249
31.12.2011;31 Aaseestadt;Wohnberechtigte Bevölkerung;5537
31.12.2011;32 Geist;Wohnberechtigte Bevölkerung;8929
31.12.2011;33 Schützenhof;Wohnberechtigte Bevölkerung;7529
31.12.2011;34 Düesberg;Wohnberechtigte Bevölkerung;6992
31.12.2011;43 Hafen;Wohnberechtigte Bevölkerung;1075
31.12.2011;44 Herz-Jesu;Wohnberechtigte Bevölkerung;5225
31.12.2011;45 Mauritz-Mitte;Wohnberechtigte Bevölkerung;10171
31.12.2011;46 Rumphorst;Wohnberechtigte Bevölkerung;7952
31.12.2011;47 Uppenberg;Wohnberechtigte Bevölkerung;8500
31.12.2011;51 Gievenbeck;Wohnberechtigte Bevölkerung;20478
31.12.2011;52 Sentrup;Wohnberechtigte Bevölkerung;7294
31.12.2011;54 Mecklenbeck;Wohnberechtigte Bevölkerung;9664
31.12.2011;56 Albachten;Wohnberechtigte Bevölkerung;5893
31.12.2011;57 Roxel;Wohnberechtigte Bevölkerung;8681
31.12.2011;58 Nienberge;Wohnberechtigte Bevölkerung;6802
31.12.2011;61 Coerde;Wohnberechtigte Bevölkerung;10321
31.12.2011;62 Kinderhaus-Ost;Wohnberechtigte Bevölkerung;4939
31.12.2011;63 Kinderhaus-West;Wohnberechtigte Bevölkerung;10576
31.12.2011;68 Sprakel;Wohnberechtigte Bevölkerung;3015
31.12.2011;71 Mauritz-Ost;Wohnberechtigte Bevölkerung;10005
31.12.2011;76 Gelmer-Dyckburg;Wohnberechtigte Bevölkerung;3558
31.12.2011;77 Handorf;Wohnberechtigte Bevölkerung;7867
31.12.2011;81 Gremmendorf-West;Wohnberechtigte Bevölkerung;4681
31.12.2011;82 Gremmendorf-Ost;Wohnberechtigte Bevölkerung;6489
31.12.2011;86 Angelmodde;Wohnberechtigte Bevölkerung;7527
31.12.2011;87 Wolbeck;Wohnberechtigte Bevölkerung;8819
31.12.2011;91 Berg Fidel;Wohnberechtigte Bevölkerung;5653
31.12.2011;95 Hiltrup-Ost;Wohnberechtigte Bevölkerung;6545
31.12.2011;96 Hiltrup-Mitte;Wohnberechtigte Bevölkerung;9970
31.12.2011;97 Hiltrup-West;Wohnberechtigte Bevölkerung;9047
31.12.2011;98 Amelsbüren;Wohnberechtigte Bevölkerung;6184
31.12.2012;11 Aegidii;Wohnberechtigte Bevölkerung;1454
31.12.2012;12 Überwasser;Wohnberechtigte Bevölkerung;1384
31.12.2012;13 Dom;Wohnberechtigte Bevölkerung;2228
31.12.2012;14 Buddenturm;Wohnberechtigte Bevölkerung;2363
31.12.2012;15 Martini;Wohnberechtigte Bevölkerung;1377
31.12.2012;21 Pluggendorf;Wohnberechtigte Bevölkerung;4385
31.12.2012;22 Josef;Wohnberechtigte Bevölkerung;8409
31.12.2012;23 Bahnhof;Wohnberechtigte Bevölkerung;1123
31.12.2012;24 Hansaplatz;Wohnberechtigte Bevölkerung;6935
31.12.2012;25 Mauritz-West;Wohnberechtigte Bevölkerung;6141
31.12.2012;26 Schlachthof;Wohnberechtigte Bevölkerung;5141
31.12.2012;27 Kreuz;Wohnberechtigte Bevölkerung;12602
31.12.2012;28 Neutor;Wohnberechtigte Bevölkerung;4381
31.12.2012;29 Schloss;Wohnberechtigte Bevölkerung;2241
31.12.2012;31 Aaseestadt;Wohnberechtigte Bevölkerung;5542
31.12.2012;32 Geist;Wohnberechtigte Bevölkerung;8884
31.12.2012;33 Schützenhof;Wohnberechtigte Bevölkerung;7513
31.12.2012;34 Düesberg;Wohnberechtigte Bevölkerung;6994
31.12.2012;43 Hafen;Wohnberechtigte Bevölkerung;1044
31.12.2012;44 Herz-Jesu;Wohnberechtigte Bevölkerung;5210
31.12.2012;45 Mauritz-Mitte;Wohnberechtigte Bevölkerung;10084
31.12.2012;46 Rumphorst;Wohnberechtigte Bevölkerung;8003
31.12.2012;47 Uppenberg;Wohnberechtigte Bevölkerung;8566
31.12.2012;51 Gievenbeck;Wohnberechtigte Bevölkerung;20816
31.12.2012;52 Sentrup;Wohnberechtigte Bevölkerung;7422
31.12.2012;54 Mecklenbeck;Wohnberechtigte Bevölkerung;8849
31.12.2012;56 Albachten;Wohnberechtigte Bevölkerung;5990
31.12.2012;57 Roxel;Wohnberechtigte Bevölkerung;8816
31.12.2012;58 Nienberge;Wohnberechtigte Bevölkerung;6776
31.12.2012;61 Coerde;Wohnberechtigte Bevölkerung;10426
31.12.2012;62 Kinderhaus-Ost;Wohnberechtigte Bevölkerung;4959
31.12.2012;63 Kinderhaus-West;Wohnberechtigte Bevölkerung;10540
31.12.2012;68 Sprakel;Wohnberechtigte Bevölkerung;3046
31.12.2012;71 Mauritz-Ost;Wohnberechtigte Bevölkerung;10252
31.12.2012;76 Gelmer-Dyckburg;Wohnberechtigte Bevölkerung;3623
31.12.2012;77 Handorf;Wohnberechtigte Bevölkerung;7959
31.12.2012;81 Gremmendorf-West;Wohnberechtigte Bevölkerung;4691
31.12.2012;82 Gremmendorf-Ost;Wohnberechtigte Bevölkerung;6518
31.12.2012;86 Angelmodde;Wohnberechtigte Bevölkerung;7527
31.12.2012;87 Wolbeck;Wohnberechtigte Bevölkerung;8837
31.12.2012;91 Berg Fidel;Wohnberechtigte Bevölkerung;5690
31.12.2012;95 Hiltrup-Ost;Wohnberechtigte Bevölkerung;6405
31.12.2012;96 Hiltrup-Mitte;Wohnberechtigte Bevölkerung;9934
31.12.2012;97 Hiltrup-West;Wohnberechtigte Bevölkerung;9195
31.12.2012;98 Amelsbüren;Wohnberechtigte Bevölkerung;6261
31.12.2013;11 Aegidii;Wohnberechtigte Bevölkerung;1462
31.12.2013;12 Überwasser;Wohnberechtigte Bevölkerung;1385
31.12.2013;13 Dom;Wohnberechtigte Bevölkerung;2251
31.12.2013;14 Buddenturm;Wohnberechtigte Bevölkerung;2415
31.12.2013;15 Martini;Wohnberechtigte Bevölkerung;1390
31.12.2013;21 Pluggendorf;Wohnberechtigte Bevölkerung;4411
31.12.2013;22 Josef;Wohnberechtigte Bevölkerung;8683
31.12.2013;23 Bahnhof;Wohnberechtigte Bevölkerung;1200
31.12.2013;24 Hansaplatz;Wohnberechtigte Bevölkerung;6874
31.12.2013;25 Mauritz-West;Wohnberechtigte Bevölkerung;6202
31.12.2013;26 Schlachthof;Wohnberechtigte Bevölkerung;5231
31.12.2013;27 Kreuz;Wohnberechtigte Bevölkerung;12550
31.12.2013;28 Neutor;Wohnberechtigte Bevölkerung;4288
31.12.2013;29 Schloss;Wohnberechtigte Bevölkerung;2245
31.12.2013;31 Aaseestadt;Wohnberechtigte Bevölkerung;5534
31.12.2013;32 Geist;Wohnberechtigte Bevölkerung;8864
31.12.2013;33 Schützenhof;Wohnberechtigte Bevölkerung;7632
31.12.2013;34 Düesberg;Wohnberechtigte Bevölkerung;7035
31.12.2013;43 Hafen;Wohnberechtigte Bevölkerung;1063
31.12.2013;44 Herz-Jesu;Wohnberechtigte Bevölkerung;5148
31.12.2013;45 Mauritz-Mitte;Wohnberechtigte Bevölkerung;10227
31.12.2013;46 Rumphorst;Wohnberechtigte Bevölkerung;8065
31.12.2013;47 Uppenberg;Wohnberechtigte Bevölkerung;8609
31.12.2013;51 Gievenbeck;Wohnberechtigte Bevölkerung;21074
31.12.2013;52 Sentrup;Wohnberechtigte Bevölkerung;7468
31.12.2013;54 Mecklenbeck;Wohnberechtigte Bevölkerung;8949
31.12.2013;56 Albachten;Wohnberechtigte Bevölkerung;6128
31.12.2013;57 Roxel;Wohnberechtigte Bevölkerung;8964
31.12.2013;58 Nienberge;Wohnberechtigte Bevölkerung;6806
31.12.2013;61 Coerde;Wohnberechtigte Bevölkerung;10428
31.12.2013;62 Kinderhaus-Ost;Wohnberechtigte Bevölkerung;5021
31.12.2013;63 Kinderhaus-West;Wohnberechtigte Bevölkerung;10479
31.12.2013;68 Sprakel;Wohnberechtigte Bevölkerung;3053
31.12.2013;71 Mauritz-Ost;Wohnberechtigte Bevölkerung;10290
31.12.2013;76 Gelmer-Dyckburg;Wohnberechtigte Bevölkerung;3658
31.12.2013;77 Handorf;Wohnberechtigte Bevölkerung;7932
31.12.2013;81 Gremmendorf-West;Wohnberechtigte Bevölkerung;4829
31.12.2013;82 Gremmendorf-Ost;Wohnberechtigte Bevölkerung;6526
31.12.2013;86 Angelmodde;Wohnberechtigte Bevölkerung;7791
31.12.2013;87 Wolbeck;Wohnberechtigte Bevölkerung;8924
31.12.2013;91 Berg Fidel;Wohnberechtigte Bevölkerung;5673
31.12.2013;95 Hiltrup-Ost;Wohnberechtigte Bevölkerung;6358
31.12.2013;96 Hiltrup-Mitte;Wohnberechtigte Bevölkerung;9927
31.12.2013;97 Hiltrup-West;Wohnberechtigte Bevölkerung;9190
31.12.2013;98 Amelsbüren;Wohnberechtigte Bevölkerung;6286
31.12.2014;11 Aegidii;Wohnberechtigte Bevölkerung;1450
31.12.2014;12 Überwasser;Wohnberechtigte Bevölkerung;1354
31.12.2014;13 Dom;Wohnberechtigte Bevölkerung;2199
31.12.2014;14 Buddenturm;Wohnberechtigte Bevölkerung;2432
31.12.2014;15 Martini;Wohnberechtigte Bevölkerung;1384
31.12.2014;21 Pluggendorf;Wohnberechtigte Bevölkerung;4522
31.12.2014;22 Josef;Wohnberechtigte Bevölkerung;8688
31.12.2014;23 Bahnhof;Wohnberechtigte Bevölkerung;1251
31.12.2014;24 Hansaplatz;Wohnberechtigte Bevölkerung;6932
31.12.2014;25 Mauritz-West;Wohnberechtigte Bevölkerung;6260
31.12.2014;26 Schlachthof;Wohnberechtigte Bevölkerung;5284
31.12.2014;27 Kreuz;Wohnberechtigte Bevölkerung;12524
31.12.2014;28 Neutor;Wohnberechtigte Bevölkerung;4338
31.12.2014;29 Schloss;Wohnberechtigte Bevölkerung;2210
31.12.2014;31 Aaseestadt;Wohnberechtigte Bevölkerung;5479
31.12.2014;32 Geist;Wohnberechtigte Bevölkerung;8976
31.12.2014;33 Schützenhof;Wohnberechtigte Bevölkerung;7688
31.12.2014;34 Düesberg;Wohnberechtigte Bevölkerung;7036
31.12.2014;43 Hafen;Wohnberechtigte Bevölkerung;1045
31.12.2014;44 Herz-Jesu;Wohnberechtigte Bevölkerung;5202
31.12.2014;45 Mauritz-Mitte;Wohnberechtigte Bevölkerung;10220
31.12.2014;46 Rumphorst;Wohnberechtigte Bevölkerung;8099
31.12.2014;47 Uppenberg;Wohnberechtigte Bevölkerung;8605
31.12.2014;51 Gievenbeck;Wohnberechtigte Bevölkerung;21155
31.12.2014;52 Sentrup;Wohnberechtigte Bevölkerung;7631
31.12.2014;54 Mecklenbeck;Wohnberechtigte Bevölkerung;9250
31.12.2014;56 Albachten;Wohnberechtigte Bevölkerung;6244
31.12.2014;57 Roxel;Wohnberechtigte Bevölkerung;9082
31.12.2014;58 Nienberge;Wohnberechtigte Bevölkerung;6769
31.12.2014;61 Coerde;Wohnberechtigte Bevölkerung;10555
31.12.2014;62 Kinderhaus-Ost;Wohnberechtigte Bevölkerung;4998
31.12.2014;63 Kinderhaus-West;Wohnberechtigte Bevölkerung;10513
31.12.2014;68 Sprakel;Wohnberechtigte Bevölkerung;3102
31.12.2014;71 Mauritz-Ost;Wohnberechtigte Bevölkerung;10317
31.12.2014;76 Gelmer-Dyckburg;Wohnberechtigte Bevölkerung;3692
31.12.2014;77 Handorf;Wohnberechtigte Bevölkerung;8017
31.12.2014;81 Gremmendorf-West;Wohnberechtigte Bevölkerung;4932
31.12.2014;82 Gremmendorf-Ost;Wohnberechtigte Bevölkerung;6522
31.12.2014;86 Angelmodde;Wohnberechtigte Bevölkerung;7930
31.12.2014;87 Wolbeck;Wohnberechtigte Bevölkerung;8981
31.12.2014;91 Berg Fidel;Wohnberechtigte Bevölkerung;5640
31.12.2014;95 Hiltrup-Ost;Wohnberechtigte Bevölkerung;6350
31.12.2014;96 Hiltrup-Mitte;Wohnberechtigte Bevölkerung;9881
31.12.2014;97 Hiltrup-West;Wohnberechtigte Bevölkerung;9284
31.12.2014;98 Amelsbüren;Wohnberechtigte Bevölkerung;6244
31.12.2015;11 Aegidii;Wohnberechtigte Bevölkerung;1445
31.12.2015;12 Überwasser;Wohnberechtigte Bevölkerung;1382
31.12.2015;13 Dom;Wohnberechtigte Bevölkerung;2256
31.12.2015;14 Buddenturm;Wohnberechtigte Bevölkerung;2549
31.12.2015;15 Martini;Wohnberechtigte Bevölkerung;1392
31.12.2015;21 Pluggendorf;Wohnberechtigte Bevölkerung;4560
31.12.2015;22 Josef;Wohnberechtigte Bevölkerung;8795
31.12.2015;23 Bahnhof;Wohnberechtigte Bevölkerung;1276
31.12.2015;24 Hansaplatz;Wohnberechtigte Bevölkerung;6952
31.12.2015;25 Mauritz-West;Wohnberechtigte Bevölkerung;6434
31.12.2015;26 Schlachthof;Wohnberechtigte Bevölkerung;5353
31.12.2015;27 Kreuz;Wohnberechtigte Bevölkerung;12613
31.12.2015;28 Neutor;Wohnberechtigte Bevölkerung;4542
31.12.2015;29 Schloss;Wohnberechtigte Bevölkerung;2211
31.12.2015;31 Aaseestadt;Wohnberechtigte Bevölkerung;5597
31.12.2015;32 Geist;Wohnberechtigte Bevölkerung;9020
31.12.2015;33 Schützenhof;Wohnberechtigte Bevölkerung;7940
31.12.2015;34 Düesberg;Wohnberechtigte Bevölkerung;7133
31.12.2015;43 Hafen;Wohnberechtigte Bevölkerung;1028
31.12.2015;44 Herz-Jesu;Wohnberechtigte Bevölkerung;5199
31.12.2015;45 Mauritz-Mitte;Wohnberechtigte Bevölkerung;10278
31.12.2015;46 Rumphorst;Wohnberechtigte Bevölkerung;8210
31.12.2015;47 Uppenberg;Wohnberechtigte Bevölkerung;8743
31.12.2015;51 Gievenbeck;Wohnberechtigte Bevölkerung;21826
31.12.2015;52 Sentrup;Wohnberechtigte Bevölkerung;7727
31.12.2015;54 Mecklenbeck;Wohnberechtigte Bevölkerung;9310
31.12.2015;56 Albachten;Wohnberechtigte Bevölkerung;6414
31.12.2015;57 Roxel;Wohnberechtigte Bevölkerung;9184
31.12.2015;58 Nienberge;Wohnberechtigte Bevölkerung;6904
31.12.2015;61 Coerde;Wohnberechtigte Bevölkerung;10766
31.12.2015;62 Kinderhaus-Ost;Wohnberechtigte Bevölkerung;5047
31.12.2015;63 Kinderhaus-West;Wohnberechtigte Bevölkerung;10364
31.12.2015;68 Sprakel;Wohnberechtigte Bevölkerung;3175
31.12.2015;71 Mauritz-Ost;Wohnberechtigte Bevölkerung;10547
31.12.2015;76 Gelmer-Dyckburg;Wohnberechtigte Bevölkerung;3730
31.12.2015;77 Handorf;Wohnberechtigte Bevölkerung;8000
31.12.2015;81 Gremmendorf-West;Wohnberechtigte Bevölkerung;5582
31.12.2015;82 Gremmendorf-Ost;Wohnberechtigte Bevölkerung;6509
31.12.2015;86 Angelmodde;Wohnberechtigte Bevölkerung;8204
31.12.2015;87 Wolbeck;Wohnberechtigte Bevölkerung;9213
31.12.2015;91 Berg Fidel;Wohnberechtigte Bevölkerung;5785
31.12.2015;95 Hiltrup-Ost;Wohnberechtigte Bevölkerung;6273
31.12.2015;96 Hiltrup-Mitte;Wohnberechtigte Bevölkerung;9934
31.12.2015;97 Hiltrup-West;Wohnberechtigte Bevölkerung;9416
